longyearbyen,26.6
asau,37.4
hartselle,32
komsomolskiy,37.4
kapaa,71.6
cape town,70.15
damme,30.2
taolanaro,75.2
georgetown,75.2
rikitea,75.59
karaul,70.15
punta arenas,41
kendari,84.14
aykhal,-43.08
meyungs,86
ushuaia,39.2
biak,86.48
bolungarvik,39.19
temple,35.6
narsaq,6.8
tuktoyaktuk,17.6
sisimiut,-10.36
cabedelo,75.2
luderitz,60.8
illoqqortoormiut,42.8
eirunepe,74.11
qaanaaq,-5.59
puerto escondido,82.03
belogradcik,27.76
quatre cocos,82.4
palauig,85.72
praya,89.6
sechura,69.61
atuona,80.14
port hedland,102.2
mys shmidta,86
la cruz,59.21
bredasdorp,68
vaini,80.6
bathsheba,78.8
avarua,80.6
chapais,6.8
juneau,26.6
busselton,72.04
palana,12.23
tromso,14
ponta do sol,62.6
hobart,64.4
prigorodka,28.4
hilo,69.8
yellowknife,12.2
albany,24.8
chuy,72.49
songkhla,86
dikson,7.06
saint simons,57.2
port-gentil,75.2
katsuura,50
sao raimundo das mangabeiras,69.25
puerto ayora,73.66
provideniya,25.24
saint-philippe,86
palmares do sul,32
port alfred,71.18
isangel,80.5
kousseri,60.8
belushya guba,-19.95
olafsvik,42.56
namibe,71.95
jamestown,21.2
hami,21.64
kihei,71.6
egvekinot,-5.41
kirakira,83.29
torbay,32
belaya gora,-49.02
east london,68
nome,28.4
goderich,15.8
palabuhanratu,81.31
bluff,54.58
yukhnov,28.16
uren,3.14
mbandaka,73.88
hithadhoo,80.32
praia da vitoria,55.4
salalah,75.2
mataura,53.6
ketchikan,30.2
cedar city,37.4
khuzhir,16.96
doctor pedro p. pena,84.2
cherskiy,-22.24
tautira,84.2
kodiak,75.2
newport,32
punta cardon,76.9
geraldton,77
qaqortoq,6.8
butaritari,82.88
mahebourg,82.4
kisangani,83.06
shar,25.33
sorvag,19.4
san juan,68
leningradskiy,-9.87
prescott,46.4
ewa beach,71.6
amapa,78.8
mar del plata,59
hutang,48.2
santa cruz del sur,68.44
tuyen quang,65.96
fairbanks,17.6
inhambane,79.24
chokurdakh,-41.91
kenitra,46.4
lebu,59.8
